VTW,  BTW,   VAW,   BAW,     V,     VMG,   PHI,SAIL
24,80,23.58,60.61,7.289,1.266,21.5,Jib
24,79,23.69,59.78,7.264,1.386,21.5,Jib
24,78,23.8,58.95,7.239,1.505,21.5,Jib
24,77,23.9,58.13,7.214,1.623,21.5,Jib
24,76,24.01,57.31,7.189,1.739,21.5,Jib
24,75,24.11,56.5,7.163,1.854,21.5,Jib
24,74,24.21,55.69,7.137,1.967,21.5,Jib
24,73,24.31,54.89,7.111,2.079,21.5,Jib
24,72,24.41,54.08,7.085,2.189,21.5,Jib
24,71,24.51,53.28,7.058,2.298,21.5,Jib
24,70,24.6,52.49,7.031,2.405,21.5,Jib
24,69,24.69,51.7,7.004,2.51,21.5,Jib
24,68,24.79,50.91,6.976,2.613,21.5,Jib
24,67,24.87,50.12,6.948,2.715,21.5,Jib
24,66,24.96,49.34,6.92,2.815,21.5,Jib
24,65,25.05,48.56,6.891,2.912,21.5,Jib
24,64,25.13,47.78,6.862,3.008,21.5,Jib
24,63,25.21,47.01,6.833,3.102,21.5,Jib
24,62,25.29,46.24,6.803,3.194,21.4,Jib
24,61,25.37,45.48,6.772,3.283,21.4,Jib
24,60,25.44,44.72,6.741,3.371,21.4,Jib
24,59,25.52,43.96,6.709,3.455,21.4,Jib
24,58,25.59,43.2,6.676,3.538,21.4,Jib
24,57,25.66,42.45,6.643,3.618,21.3,Jib
24,56,25.72,41.7,6.609,3.696,21.3,Jib
24,55,25.79,40.96,6.573,3.77,21.3,Jib
24,54,25.85,40.22,6.537,3.842,21.2,Jib
24,53,25.92,39.48,6.499,3.911,21.2,Jib
24,52,25.98,38.75,6.459,3.977,21.2,Jib
24,51,26.04,38.02,6.418,4.039,21.1,Jib
24,50,26.09,37.3,6.375,4.098,21.1,Jib
24,49,26.15,36.58,6.33,4.153,21,Jib
24,48,26.21,35.87,6.282,4.203,21,Jib
24,47,26.26,35.17,6.231,4.249,20.9,Jib
24,46,26.31,34.47,6.175,4.29,20.8,Jib
24,45,26.35,33.78,6.115,4.324,20.7,Jib
24,44,26.39,33.09,6.049,4.351,20.6,Jib
24,43,26.43,32.42,5.974,4.369,20.5,Jib
24,42,26.46,31.77,5.888,4.376,20.3,Jib
24,41,26.48,31.14,5.786,4.367,20.2,Jib
24,40,26.49,30.55,5.66,4.336,19.9,Jib
24,39,26.47,30.02,5.497,4.272,19.4,Jib
24,38,26.42,29.56,5.285,4.164,18.8,Jib
24,37,26.33,29.18,5.019,4.009,18,Jib
24,36,26.12,28.91,4.695,3.798,16.5,Jib
24,35,24.96,30.89,2.663,2.181,0,Jib
24,35,24.83,31.06,3.42,2.801,-1.4,Jib
24,173.9,14.97,170.85,7.423,-7.381,1.7,Jib OPTDN
24,180,14.8,180,7.584,-7.584,-0.7,Poled Jib
24,179,14.79,178.48,7.599,-7.598,-0.8,Poled Jib
24,178,14.78,176.97,7.615,-7.61,-0.8,Poled Jib
24,177,14.77,175.45,7.632,-7.622,-0.8,Poled Jib
24,176,14.76,173.93,7.65,-7.631,-0.8,Poled Jib
24,175,14.76,172.4,7.668,-7.639,-0.8,Poled Jib
24,174,14.76,170.88,7.686,-7.644,-0.8,Poled Jib
24,173,14.77,169.36,7.703,-7.645,-0.8,Poled Jib
24,172,14.78,167.83,7.719,-7.643,-0.7,Poled Jib
24,171,14.8,166.31,7.732,-7.637,-0.7,Poled Jib
24,170,14.82,164.79,7.744,-7.626,-0.6,Poled Jib
24,169,14.85,163.28,7.753,-7.61,-0.6,Poled Jib
24,168,14.88,161.78,7.759,-7.589,-0.5,Poled Jib
24,167,14.93,160.28,7.76,-7.562,-0.5,Poled Jib
24,166,14.97,158.8,7.759,-7.528,-0.4,Poled Jib
24,165,15.03,157.33,7.753,-7.489,-0.4,Poled Jib
24,164,15.09,155.86,7.746,-7.446,-0.4,Poled Jib
24,163,15.15,154.41,7.739,-7.401,-0.3,Poled Jib
24,162,15.22,152.97,7.732,-7.354,-0.3,Poled Jib
24,161,15.29,151.53,7.727,-7.306,-0.2,Poled Jib
24,160,15.36,150.09,7.723,-7.257,-0.2,Poled Jib
24,159,15.43,148.67,7.721,-7.208,0,Poled Jib
24,158,15.5,147.24,7.722,-7.16,0.2,Poled Jib
24,157,15.57,145.82,7.725,-7.11,0.4,Poled Jib
24,156,15.64,144.41,7.727,-7.059,0.6,Poled Jib
24,155,15.72,143.01,7.728,-7.004,0.9,Poled Jib
24,154,15.81,141.63,7.725,-6.943,1.1,Poled Jib
24,153,15.9,140.28,7.717,-6.876,1.3,Poled Jib
24,152,15.99,138.94,7.704,-6.802,1.6,Poled Jib
24,151,16.1,137.62,7.688,-6.724,1.8,Poled Jib
24,150,16.2,136.33,7.668,-6.64,2,Poled Jib
24,149,16.31,135.05,7.645,-6.553,2.2,Poled Jib
24,148,16.42,133.79,7.619,-6.461,2.5,Poled Jib
24,147,16.54,132.55,7.593,-6.368,2.7,Poled Jib
24,146,16.65,131.32,7.566,-6.272,2.9,Poled Jib
24,145,16.77,130.09,7.54,-6.177,3.1,Poled Jib
24,144,16.89,128.87,7.517,-6.082,3.3,Poled Jib
24,143,17,127.66,7.497,-5.987,3.5,Poled Jib
24,142,17.11,126.45,7.48,-5.894,3.6,Poled Jib
24,141,17.23,125.23,7.465,-5.801,3.8,Poled Jib
24,140,17.34,124.02,7.454,-5.71,4,Poled Jib
24,139,17.45,122.82,7.445,-5.619,4.1,Poled Jib
24,138,17.57,121.61,7.44,-5.529,4.3,Poled Jib
24,137,17.68,120.4,7.437,-5.439,4.4,Poled Jib
24,136,17.79,119.19,7.438,-5.35,4.5,Poled Jib
24,135,17.9,117.99,7.44,-5.261,4.6,Poled Jib
24,173,14.77,169.43,7.702,-7.645,-0.8,OPTDN Poled Jib
24,42,26.46,31.79,5.891,4.376,20.3,OPTUP
